state,year,outage_rate,type,lower_bound,upper_bound
Connecticut,2014,0.08533916849015317,Historical,0.08533916849015317,0.08533916849015317
Connecticut,2015,0.07772020725388601,Historical,0.07772020725388601,0.07772020725388601
Connecticut,2016,0.1629327902240326,Historical,0.1629327902240326,0.1629327902240326
Connecticut,2017,0.09437751004016064,Historical,0.09437751004016064,0.09437751004016064
Connecticut,2018,0.07339449541284404,Historical,0.07339449541284404,0.07339449541284404
Connecticut,2019,0.11458333333333333,Historical,0.11458333333333333,0.11458333333333333
Connecticut,2020,0.04980842911877394,Historical,0.04980842911877394,0.04980842911877394
Connecticut,2021,0.06,Historical,0.06,0.06
Connecticut,2022,0.08139534883720931,Historical,0.08139534883720931,0.08139534883720931
Connecticut,2025,0.043137254901960784,Historical,0.043137254901960784,0.043137254901960784
Maine,2014,0.14648910411622276,Historical,0.14648910411622276,0.14648910411622276
Maine,2015,0.05555555555555555,Historical,0.05555555555555555,0.05555555555555555
Maine,2016,0.13278688524590163,Historical,0.13278688524590163,0.13278688524590163
Maine,2017,0.0988857938718663,Historical,0.0988857938718663,0.0988857938718663
Maine,2018,0.11956521739130435,Historical,0.11956521739130435,0.11956521739130435
Maine,2019,0.08465608465608465,Historical,0.08465608465608465,0.08465608465608465
Maine,2020,0.05517241379310345,Historical,0.05517241379310345,0.05517241379310345
Maine,2021,0.0761904761904762,Historical,0.0761904761904762,0.0761904761904762
Maine,2022,0.1091314031180401,Historical,0.1091314031180401,0.1091314031180401
Maine,2025,0.08229426433915212,Historical,0.08229426433915212,0.08229426433915212
Massachusetts,2014,0.13991769547325103,Historical,0.13991769547325103,0.13991769547325103
Massachusetts,2015,0.1,Historical,0.1,0.1
Massachusetts,2016,0.17063989962358847,Historical,0.17063989962358847,0.17063989962358847
Massachusetts,2017,0.12563451776649745,Historical,0.12563451776649745,0.12563451776649745
Massachusetts,2018,0.12922465208747516,Historical,0.12922465208747516,0.12922465208747516
Massachusetts,2019,0.11538461538461539,Historical,0.11538461538461539,0.11538461538461539
Massachusetts,2020,0.07107843137254902,Historical,0.07107843137254902,0.07107843137254902
Massachusetts,2021,0.10759493670886076,Historical,0.10759493670886076,0.10759493670886076
Massachusetts,2022,0.14218009478672985,Historical,0.14218009478672985,0.14218009478672985
Massachusetts,2025,0.10025706940874037,Historical,0.10025706940874037,0.10025706940874037
New Hampshire,2014,0.16793893129770993,Historical,0.16793893129770993,0.16793893129770993
New Hampshire,2015,0.06864988558352403,Historical,0.06864988558352403,0.06864988558352403
New Hampshire,2016,0.0893970893970894,Historical,0.0893970893970894,0.0893970893970894
New Hampshire,2017,0.06862745098039216,Historical,0.06862745098039216,0.06862745098039216
New Hampshire,2018,0.014634146341463415,Historical,0.014634146341463415,0.014634146341463415
New Hampshire,2019,0.038011695906432746,Historical,0.038011695906432746,0.038011695906432746
New Hampshire,2020,0.023255813953488372,Historical,0.023255813953488372,0.023255813953488372
New Hampshire,2021,0.04477611940298507,Historical,0.04477611940298507,0.04477611940298507
New Hampshire,2022,0.023333333333333334,Historical,0.023333333333333334,0.023333333333333334
New Hampshire,2025,0.04844290657439446,Historical,0.04844290657439446,0.04844290657439446
New Jersey,2014,0.1451271186440678,Historical,0.1451271186440678,0.1451271186440678
New Jersey,2015,0.12955465587044535,Historical,0.12955465587044535,0.12955465587044535
New Jersey,2016,0.2298325722983257,Historical,0.2298325722983257,0.2298325722983257
New Jersey,2017,0.18454613653413354,Historical,0.18454613653413354,0.18454613653413354
New Jersey,2018,0.18421052631578946,Historical,0.18421052631578946,0.18421052631578946
New Jersey,2019,0.15394402035623408,Historical,0.15394402035623408,0.15394402035623408
New Jersey,2020,0.10549132947976879,Historical,0.10549132947976879,0.10549132947976879
New Jersey,2021,0.13927227101631118,Historical,0.13927227101631118,0.13927227101631118
New Jersey,2022,0.1416058394160584,Historical,0.1416058394160584,0.1416058394160584
New Jersey,2025,0.1417910447761194,Historical,0.1417910447761194,0.1417910447761194
New York,2014,0.07600434310532031,Historical,0.07600434310532031,0.07600434310532031
New York,2015,0.05225863596102746,Historical,0.05225863596102746,0.05225863596102746
New York,2016,0.09657534246575343,Historical,0.09657534246575343,0.09657534246575343
New York,2017,0.10095363367313384,Historical,0.10095363367313384,0.10095363367313384
New York,2018,0.07454739084132056,Historical,0.07454739084132056,0.07454739084132056
New York,2019,0.09327548806941431,Historical,0.09327548806941431,0.09327548806941431
New York,2020,0.05965559655596556,Historical,0.05965559655596556,0.05965559655596556
New York,2021,0.04797843665768194,Historical,0.04797843665768194,0.04797843665768194
New York,2022,0.0671462829736211,Historical,0.0671462829736211,0.0671462829736211
New York,2025,0.06781750924784218,Historical,0.06781750924784218,0.06781750924784218
Pennsylvania,2014,0.07730829420970266,Historical,0.07730829420970266,0.07730829420970266
Pennsylvania,2015,0.0721572530480219,Historical,0.0721572530480219,0.0721572530480219
Pennsylvania,2016,0.07319250223147873,Historical,0.07319250223147873,0.07319250223147873
Pennsylvania,2017,0.07870239774330043,Historical,0.07870239774330043,0.07870239774330043
Pennsylvania,2018,0.06474820143884892,Historical,0.06474820143884892,0.06474820143884892
Pennsylvania,2019,0.06901408450704226,Historical,0.06901408450704226,0.06901408450704226
Pennsylvania,2020,0.05471599791558103,Historical,0.05471599791558103,0.05471599791558103
Pennsylvania,2021,0.041089566020313946,Historical,0.041089566020313946,0.041089566020313946
Pennsylvania,2022,0.04396186440677966,Historical,0.04396186440677966,0.04396186440677966
Pennsylvania,2025,0.06528497409326425,Historical,0.06528497409326425,0.06528497409326425
Rhode Island,2014,0.05603448275862069,Historical,0.05603448275862069,0.05603448275862069
Rhode Island,2015,0.045774647887323945,Historical,0.045774647887323945,0.045774647887323945
Rhode Island,2016,0.13618677042801555,Historical,0.13618677042801555,0.13618677042801555
Rhode Island,2017,0.06779661016949153,Historical,0.06779661016949153,0.06779661016949153
Rhode Island,2018,0.059880239520958084,Historical,0.059880239520958084,0.059880239520958084
Rhode Island,2019,0.12857142857142856,Historical,0.12857142857142856,0.12857142857142856
Rhode Island,2020,0.05042016806722689,Historical,0.05042016806722689,0.05042016806722689
Rhode Island,2021,0.07236842105263158,Historical,0.07236842105263158,0.07236842105263158
Rhode Island,2022,0.06766917293233082,Historical,0.06766917293233082,0.06766917293233082
Rhode Island,2025,0.061068702290076333,Historical,0.061068702290076333,0.061068702290076333
Vermont,2014,0.08721804511278196,Historical,0.08721804511278196,0.08721804511278196
Vermont,2015,0.01957831325301205,Historical,0.01957831325301205,0.01957831325301205
Vermont,2016,0.040955631399317405,Historical,0.040955631399317405,0.040955631399317405
Vermont,2017,0.03723404255319149,Historical,0.03723404255319149,0.03723404255319149
Vermont,2018,0.0158311345646438,Historical,0.0158311345646438,0.0158311345646438
Vermont,2019,0.014184397163120567,Historical,0.014184397163120567,0.014184397163120567
Vermont,2020,0.02054794520547945,Historical,0.02054794520547945,0.02054794520547945
Vermont,2021,0.03254437869822485,Historical,0.03254437869822485,0.03254437869822485
Vermont,2022,0.020202020202020204,Historical,0.020202020202020204,0.020202020202020204
Vermont,2025,0.015748031496062992,Historical,0.015748031496062992,0.015748031496062992
Connecticut,2026,0.0561,Projected,0.0361,0.0761
Connecticut,2027,0.0507,Projected,0.0107,0.0907
Connecticut,2028,0.0453,Projected,0.0,0.1053
Connecticut,2029,0.0399,Projected,0.0,0.1199
Connecticut,2030,0.0345,Projected,0.0,0.1345
Maine,2026,0.0858,Projected,0.0658,0.1058
Maine,2027,0.0824,Projected,0.0424,0.1224
Maine,2028,0.079,Projected,0.019,0.139
Maine,2029,0.0756,Projected,0.0,0.1556
Maine,2030,0.0722,Projected,0.0,0.1722
Massachusetts,2026,0.1136,Projected,0.0936,0.1336
Massachusetts,2027,0.1106,Projected,0.0706,0.1506
Massachusetts,2028,0.1075,Projected,0.0475,0.1675
Massachusetts,2029,0.1045,Projected,0.0245,0.1845
Massachusetts,2030,0.1014,Projected,0.0014,0.2014
New Hampshire,2026,0.0304,Projected,0.0104,0.0504
New Hampshire,2027,0.0219,Projected,0.0,0.0619
New Hampshire,2028,0.0134,Projected,0.0,0.0734
New Hampshire,2029,0.0049,Projected,0.0,0.0849
New Hampshire,2030,0.0,Projected,0.0,0.1
New Jersey,2026,0.1374,Projected,0.1174,0.1574
New Jersey,2027,0.134,Projected,0.094,0.174
New Jersey,2028,0.1305,Projected,0.0705,0.1905
New Jersey,2029,0.127,Projected,0.047,0.207
New Jersey,2030,0.1236,Projected,0.0236,0.2236
New York,2026,0.0593,Projected,0.0393,0.0793
New York,2027,0.0577,Projected,0.0177,0.0977
New York,2028,0.0561,Projected,0.0,0.1161
New York,2029,0.0544,Projected,0.0,0.1344
New York,2030,0.0528,Projected,0.0,0.1528
Pennsylvania,2026,0.0476,Projected,0.0276,0.0676
Pennsylvania,2027,0.045,Projected,0.005,0.085
Pennsylvania,2028,0.0425,Projected,0.0,0.1025
Pennsylvania,2029,0.04,Projected,0.0,0.12
Pennsylvania,2030,0.0374,Projected,0.0,0.1374
Rhode Island,2026,0.0663,Projected,0.0463,0.0863
Rhode Island,2027,0.0655,Projected,0.0255,0.1055
Rhode Island,2028,0.0648,Projected,0.0048,0.1248
Rhode Island,2029,0.064,Projected,0.0,0.144
Rhode Island,2030,0.0632,Projected,0.0,0.1632
Vermont,2026,0.019,Projected,0.0,0.039
Vermont,2027,0.0152,Projected,0.0,0.0552
Vermont,2028,0.0114,Projected,0.0,0.0714
Vermont,2029,0.0076,Projected,0.0,0.0876
Vermont,2030,0.0038,Projected,0.0,0.1038
